Codigo_cancion,Numero de estrofa,Texo de estrofa
10007,3,"
Si te pido un beso, ven, dámelo, yo sé que estás pensándolo
Llevo tiempo intentándolo, mami, esto es dando y dándolo
Sabes que tu corazón conmigo te hace bang-bang
Sabes que esa beba está buscando de mi bang-bang
Ven, prueba de mi boca para ver cómo te sabe
Quiero, quiero, quiero ver cuánto amor a ti te cabe
Yo no tengo prisa, yo me quiero dar el viaje
Empecemos lento, después salvaje

"
10007,4,"
Pasito a pasito, suave suavecito
Nos vamos pegando, poquito a poquito
Cuando tú me besas con esa destreza
Veo que eres malicia con delicadeza
Pasito a pasito, suave suavecito
Nos vamos pegando, poquito a poquito
Y es que esa belleza es un rompecabezas
Pero pa' montarlo aquí tengo la pieza
¡Oye!

"
10007,5,"
Despacito
Quiero respirar tu cuello despacito
Deja que te diga cosas al oído
Para que te acuerdes si no estás conmigo
Despacito
Quiero desnudarte a besos despacito
Firmo en las paredes de tu laberinto
Y hacer de tu cuerpo todo un manuscrito
(Sube, sube, sube, sube, sube)

"
10007,6,"
Quiero ver bailar tu pelo, quiero ser tu ritmo (whoa, whoa)
Que le enseñes a mi boca (whoa, whoa)
Tus lugares favoritos (favorito, favorito, baby)
Déjame sobrepasar tus zonas de peligro (whoa, whoa)
Hasta provocar tus gritos (whoa, whoa)
Y que olvides tu apellido

"
10007,7,"
Despacito
Vamo' a hacerlo en una playa en Puerto Rico
Hasta que las olas griten ""¡Ay, Bendito!""
Para que mi sello se quede contigo
¡Bailalo!

"
10008,0,"
Súbeme la radio que esta es mi canción
Siente el bajo que va subiendo
Tráeme el alcohol que quita el dolor
Hoy vamo' a juntar la luna y el sol

"
10008,1,"
Súbeme la radio que esta es mi canción
Siente el bajo que va subiendo
Tráeme el alcohol que quita el dolor
Hoy vamo' a juntar la luna y el sol

"
10008,2,"
Ya no me importa nada
Ni el día ni la hora
Si lo he perdido todo
Me has dejado en las sombras
Te juro que te pienso
Hago el mejor intento
El tiempo pasa lento
Y yo me voy muriendo
(Y yo me voy muriendo)

"
10008,3,"
Si llega la noche y tú no contestas
Te juro me quedo esperando a tu puerta
Vivo pasando las noches en vela
Y sigo cantando bajo la luna llena

"
10008,4,"
Huyendo del pasado
En cada madrugada
No encuentro ningún modo
De borrar nuestra historia
A su salud bebiendo
(A su salud bebiendo)
Mientras me quede aliento
(Mientras me quede aliento)
Sólo le estoy pidiendo
(Sólo te estoy pidiendo)
Romper este silencio
(Romper este silencio)

"
10008,5,"
Ando loco y desesperado en busca de tu amor
No me dejes en esta soledad te pido
Nena te digo, vuelve conmigo
Si tú me llamas, te juro que pa' allá voy yo

Quiero verte ya
Ya no aguanto más
Quiero darte calor
Solo una vez más
Ya no aguanto más
Quiero verte ya, hoy

"
10008,6,"
Yo no te miento
Todavía te espero
Sabes bien que te quiero
No sé vivir sin ti
Yo no te miento
Todavía te espero
Sabes bien que te quiero
No sé vivir sin ti

"
20000,0,"
I found a love for me
Oh darling, just dive right in and follow my lead
Well, I found a girl, beautiful and sweet
Oh, I never knew you were the someone waitin' for me
'Cause we were just kids when we fell in love
Not knowin' what it was
I will not give you up this time
But darling, just kiss me slow, your heart is all I own
And in your eyes, you're holding mine

"
20000,1,"
Baby, I'm dancing in the dark with you between my arms
Barefoot on the grass, listening to our favourite song
When you said you looked a mess, I whispered underneath my breath
But you heard it, darling, you look perfect tonight

"
20000,2,"
Well, I found a man stronger than anyone I know
He shares my dreams, I hope that someday we'll share a home
I found a love to carry more than just my secrets
To carry love, to carry children of our own
We are still kids, but we're so in love
Fightin' against all odds
I know we'll be alright this time
Darling, just hold my hand
Be your girl, you'll be my man
And I see my future in your eyes

"
20000,3,"
Well, baby, I'm dancing in the dark with you between my arms
Barefoot on the grass while listening to our favorite song
When I saw you in that dress looking so beautiful
I don't deserve this, darling, you look perfect tonight

"
20000,4,"
Baby, I'm dancing in the dark with you between my arms
Barefoot on the grass, while listenin' to our favorite song
I have faith in what I see
Now I know I have met an angel in person
And she looks perfect, and he looks perfect
No, I don't deserve this
You look perfect tonight

"
20001,0,"
Havana, ooh na-na (ayy)
Half of my heart is in Havana, ooh na-na (ayy, ayy)
He took me back to East Atlanta, na-na-na, ah
Oh, but my heart is in Havana (ayy)
There's somethin' 'bout his manners (uh huh)
Havana, ooh na-na (uh)

"
20001,1,"
He didn't walk up with that ""how you doin'?"" (uh)
When he came in the room
He said there's a lot of girls I can do with (uh)
But I can't without you
I knew him forever in a minute (hey)
That summer night in June
And papa says he got malo in him (uh)
He got me feelin' like...

"
20001,2,"
Ooh-ooh-ooh-ooh-ooh-ooh-ooh-ooh (ayy)
I knew it when I met him (ayy), I loved him when I left him
Got me feelin' like, ooh-ooh-ooh-ooh-ooh-ooh-ooh-ooh
And then I had to tell him, I had to go
Oh na-na-na-na-na (woo)

"
20001,3,"
Jeffery, just graduated, fresh on campus, mmm
Fresh out East Atlanta with no manners, damn (fresh out East Atlanta)
Bump on her bumper like a traffic jam
Hey, I was quick to pay that girl like Uncle Sam (here you go, ayy)
Back it on me
Shawty cravin' on me, get to eatin' on me (on me)
She waited on me (then what?)
Shawty cakin' on me, got the bacon on me (wait up)
This is history in the makin', on me (on me)
Point blank, close range, that B
If it cost a million, that's me (that's me)
I was gettin' mula, baby

"
20001,4,"
Ooh na-na, oh, na-na-na (oo-ooh-ooh-ooh-ooh-ooh-ooh)
Take me back, back, back like...
Ooh na-na, oh, na-na-na (yeah, babe)
Take me back, back, back like...
Ooh na-na, oh, na-na-na (yeah, yeah)
Take me back, back, back like...
Ooh na-na, oh, na-na-na (yeah, babe)
Take me back, back, back
Hey, hey...
Ooh-ooh-ooh-ooh-ooh-ooh-ooh-ooh (hey)
Ooh-ooh-ooh-ooh-ooh-ooh-ooh-ooh (hey)
Take me back to my Havana...

"
20002,0,"
Say say say, hey hey now baby
Oh mama, don't play now baby
Say say say, hey hey now baby
Said let's get one thing straight now baby

"
20002,1,"
Tell me, tell me if you love me or not, love me or not, love me or not?
I'll bet the house on you, am I lucky or not, lucky or not, lucky or not?
You gotta tell me if you love me or not, love me or not, love me or not?
Been wishin' for you, am I lucky or not, lucky or not, lucky or not?

"
20002,2,"
Ooooh, oooh
Been wishin' for you
Ooh, ooh
Tryna' do what lovers do (ooh)
Ooooh, oooh
Been wishin' for you
Ooh, ooh
Tryna' do what lovers do (ooh)

"
20002,3,"
Say say say, hey hey now baby
You gonna make me hit you with that lay down, baby (ohhh)
(Ooh) Say say say, hey hey now baby
You know what I need, out the gate now baby (oh, ohhh)

"
20002,4,"
Ooooh, oooh
Been wishin' for you
Ooh, ooh
Tryna' do what lovers do (ooh)
Ooooh, oooh
Been wishin' for you (wishin')
Ooh, ooh
Tryna' do what lovers do (ooh)

"
20002,5,"
(Hey yeah) What lovers do (oh, ohh)
What lovers do (hmm na na na, hey yeah)
What lovers do (oh, hmm na na na, oh, ohh)

"
20002,6,"
Aren't we too grown for games?
Aren't we too grown to play around?
Young enough to chase
But old enough to know better
Are we too grown for changin'?
Are we too grown to mess around?
Ooh and I can't wait forever baby
Both of us should know better

"
20003,0,"
In your eyes, there's a heavy blue
One to love, and one to lose
Sweet divide, a heavy truth
Water or wine, don't make me choose

"
20003,1,"
I wanna feel the way that we did that summer night, night
Drunk on a feeling, alone with the stars in the sky

"
20003,2,"
I've been running through the jungle
I've been running with the wolves
To get to you, to get to you
I've been down the darkest alleys
Saw the dark side of the moon
To get to you, to get to you
I've looked for love in every stranger
Took too much to ease the anger
All for you, yeah, all for you
I've been running through the jungle
I've been crying with the wolves
To get to you, to get to you, to get to you

"
20003,3,"
To get to you
To get to you

"
20003,4,"
Your fingertips trace my skin
To places I have never been
Blindly, I am following
Break down these walls and come on in

"
20004,0,"
I'll admit, I was wrong, what else can I say, girl?
Can't you blame my head and not my heart?
I was drunk, I was gone, that don't make it right, but
Promise there were no feelings involved, mmh

"
20004,1,"
She said, ""Boy, tell me honestly
Was it real or just for show?"", yeah
She said, ""Save your apologies
Baby, I just gotta know""

"
20004,2,"
How long has this been goin' on?
You've been creepin' 'round on me
While you're callin' me ""baby""
How long has this been goin' on?
You've been actin' so shady
I've been feelin' it lately, baby

"
20004,3,"
Ooo-oh (yeah)
Ooo-oh (encore)
Oooh-ooh-oh

"
20004,4,"
I'll admit, it's my fault, but you gotta believe me
When I say it only happened once, mmm
I try, and I try, but you'll never see that
You're the only one I wanna love, oh, yeah

"
20005,0,"
Talkin' in my sleep at night, makin' myself crazy
(Out of my mind, out of my mind)
Wrote it down and read it out, hopin' it would save me
(Too many times, too many times)
My love, he makes me feel like nobody else, nobody else
But my love, he doesn't love me, so I tell myself, I tell myself

"
20005,1,"
One: Don't pick up the phone
You know he's only callin' 'cause he's drunk and alone
Two: Don't let him in
You'll have to kick him out again
Three: Don't be his friend
You know you're gonna wake up in his bed in the morning
And if you're under him, you ain't gettin' over him

"
20005,2,"
I got new rules, I count 'em
I got new rules, I count 'em
I gotta tell them to myself
I got new rules, I count 'em
I gotta tell them to myself

"
20005,3,"
I keep pushin' forwards, but he keeps pullin' me backwards
(Nowhere to turn, no way)
(Nowhere to turn, no)
Now I'm standin' back from it, I finally see the pattern
(I never learn, I never learn)
But my love, he doesn't love me, so I tell myself, I tell myself
I do, I do, I do

"
20005,4,"
Practice makes perfect
I'm still tryna learn it by heart (I got new rules, I count 'em)
Eat, sleep, and breathe it
Rehearse and repeat it, 'cause I... (I got new...)

"
20006,0,"
Not tryna be indie
Not tryna be cool
Just tryna be in this
Tell me, are you too?
Can you feel where the wind is?
Can you feel it through
All of the windows
Inside this room?

"
20006,1,"
'Cause I wanna touch you baby
And I wanna feel you too
I wanna see the sunrise
On your sins just me and you

"
20006,2,"
Light it up, on the run
Let's make love tonight
Make it up, fall in love, try

"
20006,3,"
But you'll never be alone
I'll be with you from dusk till dawn
I'll be with you from dusk till dawn
Baby, I am right here
I'll hold you when things go wrong
I'll be with you from dusk till dawn
I'll be with you from dusk till dawn
Baby, I am right here

"
20006,4,"
I'll be with you from dusk till dawn
Baby, I am right here

"
20006,5,"
We were shut like a jacket
So do your zip
We would roll down the rapids
To find a wave that fits
Can you feel where the wind is?
Can you feel it through
All of the windows
Inside this room?

"
20006,6,"
'Cause I wanna touch you baby
And I wanna feel it too
I wanna see the sunrise
On your sins just me and you

"
20006,7,"
Could give love to your body
So, only you that can stop it
Go, give love to your body
So, only you that can stop it
Go, give love to your body
So, only you that can stop it
Go, give love to your body
Go, give love to your body

"
20007,0,"
Big fat thang, overflowin'
Skin tight dress, couldn't hold it
Way too thick like it's swollen
Girl, you're too bad and you know it
When you drop down, lose focus
When that thing clap, that's a bonus
Mmm, that cake looking appetizing
Backpack full, that's a crisis

"
20007,1,"
Bring that body my way
Can't take it off my brain
Look like you do ballet, yeah

"
20007,2,"
Hold tight when you tip toe (oh, oh, oh, oh)
Shake something when you tip toe (girl, oh, oh, oh, oh)
No breaks when you push that back
Left, right, do it just like that
Hold tight when you tip toe (oh, oh, oh, oh)

"
20007,3,"
Ayo, God bless you from behind and (I do)
One hand up like the Heisman (touchdown)
First class seat when ya ridin' (oh yeah)
Wind that thing like ya spineless

"
20007,4,"
Wine fa me darlin'
Way you move ya spine is alarmin'
Mi wan you just wine fa me, darlin' (oh, oh, oh, oh)

"
20007,5,"
Oooh, one, tryna figure out who to give ya love
Two, dancin' like a freak 'til a quarter past
Three, you know I'm the one you been looking for
(Montana, ha)

"
20007,6,"
Left cheek, right cheek, left cheek, right cheek (oh, no)
Left cheek, right cheek, left cheek, right cheek (ayy, ayy)
Tip toe (tip toe), tip toe (tip toe)
Chains on, got me lookin' like a disco (a disco)
Who that be? And that drop be Mansory (skrrt)
Who that be? Blowin' gas out the 'rari (sk-skrrt)
French vanilla smooth like a 100-year wine
Come sneak up from behind, ""What's ya name?""
""What's ya sign?"" (Huh)
Wine fa me, darlin'
""You want to dock in or fly out??""
Wine fa me, darlin'
""Baby, you want to lease, rent, or buy out??""
Wine fa me, darlin'
When dat money keep blowin', swat, why shorty tip toein'
Got ya left cheek shown, mama
Tip (huh)

"
20008,0,"
Time flies by when the night is young
Daylight shines on an undisclosed location, location
Bloodshot eyes looking for the sun
Paradise delivered and we call it a vacation, vacation

"
20008,1,"
You're painting me a dream that I
Wanna belong in, wanna belong in

"
20008,2,"
Over the hills and far away
A million miles from L.A
Just anywhere away with you
I know we've got to get away
Someplace where no one knows our name
We'll find the start to something new
Just take me anywhere, take me anywhere
Anywhere away with you
Just take me anywhere, take me anywhere
Anywhere away with you

"
20008,3,"
Fun, little less fun
Little less, over, over, over, over, me
Oh, fun, little less fun
Little less, over, over, over, over, me

"
20008,4,"
Truth comes out when we're blacking out
Looking for connection in a crowd of empty faces, empty faces
Your secrets are the only thing I'm craving now
The good, and the bad, let me in
'Cause I can take it, I can take it

"
20008,5,"
Take me anywhere
Oh, anywhere
Anywhere away with you
Take me anywhere

"
20009,0,"
Ella, que ha nacido modelo, diva y superestrella
Deja el mundo menos bonito cuando se aleja
Riendo porque mi alma le llora y queja
(Es una guerrera)

"
20009,1,"
Ella tiene arsenal, ella, pa' cargarse a cualquiera
Le gusta viajar, ella, pega'ita a mi vera
Tiene el pedal, ella, cuando quiere acelera
Adicta a pelear, es una guerrera
(Eso es)

Lo juro, me muera
Es una guerrera
Lo juro, me muera
Lo juro, me muera

"
20009,2,"
Ella roba en las tiendas
Atraca los bancos, se entera de to' los santos
Se sabe el nombre del jurado
Tiene fichados los horarios
Tiene una hacienda, tres o cuatro barcos
Un M4 y un Lambo
Tiene cuero y piel en el armario
Un nombre hecho por todo el barrio
Y ella cierra los ojos y ve
A través de las paredes
Tiene la fuerza de mil hombres
Y yo me pierdo en su timidez
Eso...

"
20009,3,"
Ella, que ha nacido modelo, diva y superestrella
Deja el mundo menos bonito cuando se aleja
Riendo porque mi alma le llora y queja
Es una guerrera, ella
Lo juro, me muera, ella
Es una guerrera, ella
Lo juro, me muera, ella
Eso es

"
20009,4,"
Y el orgullo me robó
A punta de Kalashnikov
Y mi cerebro secuestró
Calla'ita con silenciador
Y ahora to'l mundo sabe:
Que tiene arsenal pa' cargarse a cualquiera
Le encanta viajar pega'íta a mi vera
Ella, tiene el pedal, y cuando quiere acelera
Adicta a pelear, es una guerrera
(Eso es)

"
20010,0,"
Ella, que ha nacido modelo, diva y superestrella
Deja el mundo menos bonito cuando se aleja
Riendo porque mi alma le llora y queja
(Es una guerrera)

"
20010,1,"
Ella tiene arsenal, ella, pa' cargarse a cualquiera
Le gusta viajar, ella, pega'ita a mi vera
Tiene el pedal, ella, cuando quiere acelera
Adicta a pelear, es una guerrera
(Eso es)

Lo juro, me muera
Es una guerrera
Lo juro, me muera
Lo juro, me muera

"
20010,2,"
Ella roba en las tiendas
Atraca los bancos, se entera de to' los santos
Se sabe el nombre del jurado
Tiene fichados los horarios
Tiene una hacienda, tres o cuatro barcos
Un M4 y un Lambo
Tiene cuero y piel en el armario
Un nombre hecho por todo el barrio
Y ella cierra los ojos y ve
A través de las paredes
Tiene la fuerza de mil hombres
Y yo me pierdo en su timidez
Eso...

"
20010,3,"
Ella, que ha nacido modelo, diva y superestrella
Deja el mundo menos bonito cuando se aleja
Riendo porque mi alma le llora y queja
Es una guerrera, ella
Lo juro, me muera, ella
Es una guerrera, ella
Lo juro, me muera, ella
Eso es

"
20010,4,"
Y el orgullo me robó
A punta de Kalashnikov
Y mi cerebro secuestró
Calla'ita con silenciador
Y ahora to'l mundo sabe:
Que tiene arsenal pa' cargarse a cualquiera
Le encanta viajar pega'íta a mi vera
Ella, tiene el pedal, y cuando quiere acelera
Adicta a pelear, es una guerrera
(Eso es)

"
20011,0,"
Fuera, vete de mi casa
Tú no eres mi amiga
Que yo sigo jugando, qué más da
Sigo jugando solo

Me aburro
El patio está vacío
Y suenan las sirenas
Y yo sigo jugando, qué más da
Sigo jugando y siempre me castigas

"
20011,1,"
Y solo quiero que te vayas
Solo quiero que se acabe
Solo quiero que me dejes solo

"
20011,2,"
Fuera, vete de mi casa
Suéltame las manos
No soy más que un niño
Con los pies descalzos

Y yo sigo jugando, qué más da
Sigo jugando solo

Nada, ya no queda nada
Solo tu delirio
Tu ruido insoportable en el salón
No queda nada más que tu fantasma

"
20012,0,"
No hay reglas para amar
No hay forma de acertar
Solo pretendo ser
Tu mejor verdad

Pero tú vienes y te vas
Y yo alerto al corazón
Si te vas a quedar
No entenderé otro adiós

"
20012,1,"
Que el hambre que tienes se olvida
De las mordidas que ya le dio a mi vida

"
